,t_out,Energy_2,Energy_4,Energy_3,temperature:drybulb,Equip,Energy_5,Energy_1,light,occ
2909,25.0,4391.304,4385.7314,2784.0896,21.998466,0.4377068,2809.3245,0.0,0.07140652,0.0
2910,25.0,4365.4165,4357.802,2765.6113,21.998486,0.4377068,2792.443,0.0,0.07140652,0.0
2911,25.0,4344.076,4334.729,2750.4976,21.998503,0.4377068,2778.2917,0.0,0.07140652,0.0
2912,25.0,4327.4917,4317.087,2739.0488,21.998512,0.4377068,2767.223,0.0,0.07140652,0.0
2913,25.0,4314.5684,4303.5444,2730.3208,21.99852,0.4377068,2758.5146,0.0,0.07140652,0.0
2914,25.0,4355.8345,4344.4946,2754.2092,21.99851,0.4377068,2782.1406,0.0,0.07140652,0.098877065
2915,25.0,4347.53,4335.9316,2748.6423,21.99849,0.4377068,2776.3977,0.0,0.07140652,0.098877065
2916,25.0,3876.6704,3874.1816,2475.47,21.99857,0.4377068,2457.9392,0.0,0.07140652,0.098877065
2917,25.0,3691.8086,3685.6707,2346.5798,21.999784,0.4377068,2329.2205,4482.764,0.07140652,0.098877065
2918,25.0,3683.3425,3672.6934,2337.2192,21.999575,0.4377068,2322.086,3975.4307,0.07140652,0.098877065
2919,25.0,3653.321,3649.638,2379.9106,21.999311,0.4377068,2299.9548,4231.8994,0.07140652,0.098877065
2920,25.0,4115.728,4112.3286,2707.2888,21.9992,0.4377068,2569.6052,4337.775,0.21421957,0.19775413
2921,25.0,4042.7393,4034.0935,2727.3657,21.999146,0.4377068,2520.3828,4304.596,0.21421957,0.19775413
2922,25.366667,4023.9585,4000.1042,2761.4727,21.999191,0.4377068,2506.4246,4214.7944,0.21421957,0.19775413
2923,25.733334,4023.865,3985.4045,2800.9966,21.999214,0.4377068,2502.637,4194.7246,0.21421957,0.19775413
2924,26.1,4038.3179,3985.2422,2846.1008,21.999224,0.4377068,2507.1665,4184.055,0.21421957,0.19775413
2925,26.466667,4058.0405,3996.292,2852.6191,21.999228,0.4377068,2515.3857,4179.8296,0.21421957,0.19775413
2926,26.833334,6070.892,6006.766,4000.9915,21.998987,0.9848403,3705.931,6476.4385,0.64265865,0.93933207
2927,27.2,6047.457,5977.782,3968.4326,21.997887,0.9848403,3690.9177,6474.7827,0.64265865,0.93933207
2928,27.383333,5966.918,5892.8433,3903.3635,21.997887,0.9848403,3644.1628,6420.9976,0.64265865,0.93933207
