,Date/Time,Environment Temperature,Electricity,Setting Temperature
109, 08/01  18:20:00,27.0,6443.973,26
110, 08/01  18:30:00,27.0,6227.41274,26
111, 08/01  18:40:00,27.0,6036.78584999999,26
112, 08/01  18:50:00,27.0,5839.2858,26
113, 08/01  19:00:00,27.0,5616.25553999999,26
114, 08/01  19:10:00,26.86666667,5524.4033,26
115, 08/01  19:20:00,26.73333333,5450.22083,26
116, 08/01  19:30:00,26.6,5384.11521,26
117, 08/01  19:40:00,26.46666667,5322.97905,26
118, 08/01  19:50:00,26.33333333,5265.5634,26
119, 08/01  20:00:00,26.2,5210.81676,26
120, 08/01  20:10:00,26.16666667,4336.3695,26
121, 08/01  20:20:00,26.13333333,4336.90495,26
122, 08/01  20:30:00,26.1,4340.01542,26
123, 08/01  20:40:00,26.06666667,4342.2568,26
124, 08/01  20:50:00,26.03333333,4343.46614,26
125, 08/01  21:00:00,26.0,4343.66554,26
126, 08/01  21:10:00,26.0,4342.82872,26
127, 08/01  21:20:00,26.0,4341.77965,26
128, 08/01  21:30:00,26.0,4342.07869,26
129, 08/01  21:40:00,26.0,4343.35963,26
130, 08/01  21:50:00,26.0,4345.52777,26
131, 08/01  22:00:00,26.0,4348.5228,26
132, 08/01  22:10:00,26.0,2183.59395999999,26
133, 08/01  22:20:00,26.0,2204.29274,26
134, 08/01  22:30:00,26.0,2235.65846,26
135, 08/01  22:40:00,26.0,2264.87148,26
136, 08/01  22:50:00,26.0,2289.31772,26
137, 08/01  23:00:00,26.0,2309.47645,26
138, 08/01  23:10:00,26.0,1978.12025,26
139, 08/01  23:20:00,26.0,1995.05834999999,26
140, 08/01  23:30:00,26.0,2008.763,26
141, 08/01  23:40:00,26.0,2018.38393,26
142, 08/01  23:50:00,26.0,2024.50286,26
143, 08/01  24:00:00,26.0,2027.59111,26
144, 08/02  00:10:00,25.83333333,1965.25748,26
145, 08/02  00:20:00,25.66666667,1962.61784999999,26
146, 08/02  00:30:00,25.5,1960.64459999999,26
147, 08/02  00:40:00,25.33333333,1958.81383,26
148, 08/02  00:50:00,25.16666667,1957.07859999999,26
149, 08/02  01:00:00,25.0,1955.35733,26
150, 08/02  01:10:00,25.06666667,1845.50283999999,26
151, 08/02  01:20:00,25.13333333,1731.95413999999,26
152, 08/02  01:30:00,25.2,1614.58241,26
153, 08/02  01:40:00,25.26666667,1494.11727,26
154, 08/02  01:50:00,25.33333333,1370.55786,26
155, 08/02  02:00:00,25.4,1244.29854,26
156, 08/02  02:10:00,25.33333333,1346.0692,26
157, 08/02  02:20:00,25.26666667,1449.33762,26
158, 08/02  02:30:00,25.2,1552.50708999999,26
159, 08/02  02:40:00,25.13333333,1655.9532,26
160, 08/02  02:50:00,25.06666667,1759.16935999999,26
161, 08/02  03:00:00,25.0,1862.63953,26
162, 08/02  03:10:00,25.0,1731.33546,26
163, 08/02  03:20:00,25.0,1596.32681,26
164, 08/02  03:30:00,25.0,1460.24680999999,26
165, 08/02  03:40:00,25.0,1322.88727,26
166, 08/02  03:50:00,25.0,1184.05109,26
167, 08/02  04:00:00,25.0,1044.21821,26
168, 08/02  04:10:00,25.0,1027.72789,26
169, 08/02  04:20:00,25.0,1010.93007999999,26
170, 08/02  04:30:00,25.0,992.23774,26
171, 08/02  04:40:00,25.0,972.20863,26
172, 08/02  04:50:00,25.0,1370.5267,26
173, 08/02  05:00:00,25.0,1344.60654999999,26
174, 08/02  05:10:00,25.0,1310.09905,26
175, 08/02  05:20:00,25.0,1277.80623,26
176, 08/02  05:30:00,25.0,1248.61927,26
177, 08/02  05:40:00,25.0,1221.62012,26
178, 08/02  05:50:00,25.0,1331.39021,26
179, 08/02  06:00:00,25.0,1508.29362,26
180, 08/02  06:10:00,25.01666667,2535.33145,26
181, 08/02  06:20:00,25.03333333,3531.5838,26
182, 08/02  06:30:00,25.05,3023.29617,26
183, 08/02  06:40:00,25.06666667,3249.8637,26
184, 08/02  06:50:00,25.08333333,5625.47669999999,26
185, 08/02  07:00:00,25.1,5674.98435999999,26
186, 08/02  07:10:00,25.11666667,5926.3812,26
187, 08/02  07:20:00,25.13333333,6174.1471,26
188, 08/02  07:30:00,25.15,6453.78514,26
189, 08/02  07:40:00,25.16666667,6697.59324,26
190, 08/02  07:50:00,25.18333333,16413.1201999999,26
191, 08/02  08:00:00,25.2,16470.9054,26
192, 08/02  08:10:00,25.51666667,16310.8976,26
193, 08/02  08:20:00,25.83333333,16195.3727,26
194, 08/02  08:30:00,26.15,16121.651,26
195, 08/02  08:40:00,26.46666667,16049.3827,26
196, 08/02  08:50:00,26.78333333,15982.021,26
197, 08/02  09:00:00,27.1,15959.6332,26
198, 08/02  09:10:00,27.41666667,15888.24,26
199, 08/02  09:20:00,27.73333333,15854.1484,26
200, 08/02  09:30:00,28.05,15833.0898999999,26
201, 08/02  09:40:00,28.36666667,15877.3,26
202, 08/02  09:50:00,28.68333333,15938.0566,26
203, 08/02  10:00:00,29.0,16000.7655,26
204, 08/02  10:10:00,29.11666667,16037.0614,26
205, 08/02  10:20:00,29.23333333,16063.7908,26
206, 08/02  10:30:00,29.35,16085.4062,26
207, 08/02  10:40:00,29.46666667,16084.6946999999,26
208, 08/02  10:50:00,29.58333333,16081.2775,26
209, 08/02  11:00:00,29.7,16072.7938,26
210, 08/02  11:10:00,29.75,16054.2524,26
211, 08/02  11:20:00,29.8,16039.6242,26
212, 08/02  11:30:00,29.85,16039.1621999999,26
213, 08/02  11:40:00,29.9,16017.1231,26
214, 08/02  11:50:00,29.95,16027.1048999999,26
215, 08/02  12:00:00,30.0,16011.0102,26
216, 08/02  12:10:00,30.16666667,13934.7317,26
217, 08/02  12:20:00,30.33333333,13558.2185999999,26
218, 08/02  12:30:00,30.5,12786.085,26
219, 08/02  12:40:00,30.66666667,12437.3336,26
220, 08/02  12:50:00,30.83333333,12086.7686,26
221, 08/02  13:00:00,31.0,11716.6562,26
222, 08/02  13:10:00,30.66666667,13340.4378,26
223, 08/02  13:20:00,30.33333333,13297.8323,26
224, 08/02  13:30:00,30.0,13215.6256,26
225, 08/02  13:40:00,29.66666667,13136.2138,26
226, 08/02  13:50:00,29.33333333,13061.6871,26
227, 08/02  14:00:00,29.0,12977.6638,26
228, 08/02  14:10:00,28.83333333,12989.4583,26
229, 08/02  14:20:00,28.66666667,13004.6944,26
230, 08/02  14:30:00,28.5,13024.7807,26
231, 08/02  14:40:00,28.33333333,13047.7493,26
232, 08/02  14:50:00,28.16666667,13070.5808,26
233, 08/02  15:00:00,28.0,13093.8290999999,26
234, 08/02  15:10:00,28.0,13122.0805,26
235, 08/02  15:20:00,28.0,13151.7242,26
236, 08/02  15:30:00,28.0,13177.4152,26
237, 08/02  15:40:00,28.0,13220.1212999999,26
238, 08/02  15:50:00,28.0,13263.1078,26
239, 08/02  16:00:00,28.0,13307.2911,26
240, 08/02  16:10:00,28.05,13396.8531,26
241, 08/02  16:20:00,28.1,13482.2336,26
242, 08/02  16:30:00,28.15,13561.7881,26
243, 08/02  16:40:00,28.2,13629.8524999999,26
244, 08/02  16:50:00,28.25,13689.5905,26
245, 08/02  17:00:00,28.3,13744.6085,26
246, 08/02  17:10:00,28.25,8078.92399999999,26
247, 08/02  17:20:00,28.2,7998.9783,26
248, 08/02  17:30:00,28.15,7969.267,26
249, 08/02  17:40:00,28.1,8125.2579,26
250, 08/02  17:50:00,28.05,8094.0737,26
251, 08/02  18:00:00,28.0,8050.2791,26
252, 08/02  18:10:00,28.0,5647.97906,26
253, 08/02  18:20:00,28.0,5625.15978999999,26
254, 08/02  18:30:00,28.0,5609.62109999999,26
255, 08/02  18:40:00,28.0,5613.593,26
256, 08/02  18:50:00,28.0,5610.89294999999,26
257, 08/02  19:00:00,28.0,5543.7011,26
258, 08/02  19:10:00,27.93333333,5498.36214,26
259, 08/02  19:20:00,27.86666667,5487.88497,26
260, 08/02  19:30:00,27.8,5481.86916,26
261, 08/02  19:40:00,27.73333333,5475.81626,26
262, 08/02  19:50:00,27.66666667,5470.09148,26
263, 08/02  20:00:00,27.6,5464.34363999999,26
264, 08/02  20:10:00,27.66666667,4524.70817,26
265, 08/02  20:20:00,27.73333333,4512.38927,26
266, 08/02  20:30:00,27.8,4503.35146,26
267, 08/02  20:40:00,27.86666667,4492.9141,26
268, 08/02  20:50:00,27.93333333,4480.97257,26
269, 08/02  21:00:00,28.0,4467.33917,26
270, 08/02  21:10:00,28.0,4454.33108,26
271, 08/02  21:20:00,28.0,4439.92035,26
272, 08/02  21:30:00,28.0,4423.1824,26
273, 08/02  21:40:00,28.0,4404.81150999999,26
274, 08/02  21:50:00,28.0,4385.08436,26
275, 08/02  22:00:00,28.0,4364.13205,26
276, 08/02  22:10:00,27.96666667,1048.21241,26
277, 08/02  22:20:00,27.93333333,1042.78961,26
278, 08/02  22:30:00,27.9,1043.10004,26
279, 08/02  22:40:00,27.86666667,1039.58037,26
280, 08/02  22:50:00,27.83333333,1030.99108,26
281, 08/02  23:00:00,27.8,1018.40783,26
282, 08/02  23:10:00,27.83333333,609.39524,26
283, 08/02  23:20:00,27.86666667,585.11556,26
